Date,Time,Temperature,Dewpoint,Visibility,Humidity
2017-01-26,11:43:53,0.8,-1.5,8.3,84.8
2017-01-26,11:43:53,0.8,-1.5,8.3,84.8
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,11:44:14,0.7,-1.6,8.2,84.78
2017-01-26,12:19:34,0.4,-2.0,7.9,84.14
2017-01-26,12:19:35,0.3,-1.9,7.9,85.36
2017-01-26,12:19:36,0.4,-1.9,7.9,84.75
2017-01-26,12:19:37,0.4,-1.9,7.9,84.75
2017-01-26,12:19:38,0.4,-1.9,8.0,84.75
2017-01-26,12:19:39,0.4,-1.9,7.9,84.75
2017-01-26,12:19:40,0.4,-1.9,7.9,84.75
2017-01-26,12:19:41,0.3,-2.0,7.8,84.74
2017-01-26,12:19:42,0.3,-1.9,7.8,85.36
2017-01-26,12:19:43,0.4,-1.9,7.8,84.75
2017-01-26,12:19:44,0.3,-2.0,7.9,84.74
2017-01-26,12:19:53,0.4,-2.0,7.9,84.14
2017-01-26,12:19:54,0.3,-2.0,8.0,84.74
2017-01-26,12:19:55,0.4,-2.0,7.9,84.14
2017-01-26,12:19:56,0.3,-2.0,7.9,84.74
2017-01-26,12:19:57,0.3,-2.0,7.9,84.74
2017-01-26,12:19:58,0.3,-1.9,8.0,85.36
2017-01-26,12:19:59,0.4,-2.0,8.0,84.14
2017-01-26,12:20:00,0.4,-2.0,8.1,84.14
2017-01-26,12:20:01,0.3,-1.9,8.0,85.36
2017-01-26,12:20:02,0.4,-1.9,8.0,84.75
2017-01-26,12:20:03,0.4,-2.0,7.9,84.14
2017-01-26,12:20:04,0.3,-2.0,8.0,84.74
2017-01-26,12:20:05,0.4,-2.0,8.0,84.14
2017-01-26,12:20:06,0.4,-2.0,8.1,84.14
2017-01-26,12:20:07,0.3,-2.0,8.0,84.74
2017-01-26,12:20:08,0.4,-1.9,8.0,84.75
2017-01-26,12:20:09,0.3,-1.9,7.9,85.36
2017-01-26,12:20:10,0.4,-1.9,8.0,84.75
2017-01-26,12:20:11,0.3,-2.0,7.9,84.74
2017-01-26,12:20:12,0.3,-1.9,7.9,85.36
2017-01-26,12:20:13,0.3,-1.9,7.8,85.36
2017-01-26,12:20:14,0.3,-2.0,7.8,84.74
2017-01-26,12:20:15,0.3,-1.9,7.8,85.36
2017-01-26,12:20:16,0.3,-1.9,7.9,85.36
2017-01-26,12:20:17,0.3,-1.9,7.8,85.36
2017-01-26,12:20:18,0.4,-1.9,8.0,84.75
2017-01-26,12:20:19,0.4,-2.0,7.9,84.14
