Date,Time,Temperature,Dewpoint,Visibility,Humidity
2017-01-26,11:43:53,3.4,-0.7,12.7,74.81
2017-01-26,11:43:53,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,11:44:13,3.4,-0.7,12.7,74.81
2017-01-26,12:19:35,3.3,-1.0,12.5,73.72
2017-01-26,12:19:36,3.1,-1.0,12.4,74.75
2017-01-26,12:19:37,3.1,-1.8,12.4,70.54
2017-01-26,12:19:38,3.3,-1.8,12.4,69.56
2017-01-26,12:19:39,3.3,-1.0,12.5,73.72
2017-01-26,12:19:40,3.3,-1.0,12.4,73.72
2017-01-26,12:19:41,3.3,-1.0,12.5,73.72
2017-01-26,12:19:42,3.3,-1.8,12.4,69.56
2017-01-26,12:19:43,3.1,-1.8,12.4,70.54
2017-01-26,12:19:44,3.3,-1.8,12.4,69.56
2017-01-26,12:19:53,3.1,-1.0,12.5,74.75
2017-01-26,12:19:54,3.1,-1.0,12.4,74.75
2017-01-26,12:19:55,3.3,-1.8,12.5,69.56
2017-01-26,12:19:56,3.1,-1.0,12.4,74.75
2017-01-26,12:19:57,3.1,-1.0,12.4,74.75
2017-01-26,12:19:58,3.1,-1.8,12.4,70.54
2017-01-26,12:19:59,3.1,-1.0,12.4,74.75
2017-01-26,12:20:00,3.1,-1.0,12.3,74.75
2017-01-26,12:20:01,3.1,-1.0,12.4,74.75
2017-01-26,12:20:02,3.1,-1.0,12.3,74.75
2017-01-26,12:20:03,3.1,-1.0,12.3,74.75
2017-01-26,12:20:04,3.1,-1.0,12.3,74.75
2017-01-26,12:20:05,3.3,-1.8,12.3,69.56
2017-01-26,12:20:06,3.1,-1.8,12.2,70.54
2017-01-26,12:20:07,3.3,-1.0,12.1,73.72
2017-01-26,12:20:08,3.3,-1.8,12.2,69.56
2017-01-26,12:20:09,3.1,-1.8,12.1,70.54
2017-01-26,12:20:10,3.3,-1.0,12.2,73.72
2017-01-26,12:20:11,3.3,-1.8,12.3,69.56
2017-01-26,12:20:12,3.1,-1.0,12.3,74.75
2017-01-26,12:20:13,3.1,-1.8,12.3,70.54
2017-01-26,12:20:14,3.3,-1.8,12.2,69.56
2017-01-26,12:20:15,3.3,-1.0,12.3,73.72
2017-01-26,12:20:16,3.1,-1.8,12.2,70.54
2017-01-26,12:20:17,3.1,-1.0,12.1,74.75
2017-01-26,12:20:18,3.1,-1.0,12.2,74.75
2017-01-26,12:20:19,3.3,-1.0,12.3,73.72
