Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-0.2,-2.0,9.2
2017-01-24,11:12:33,-0.2,-2.3,9.1
2017-01-24,11:12:34,-0.2,-2.0,9.1
2017-01-24,11:12:35,-0.2,-2.0,9.0
2017-01-24,11:12:36,-0.2,-2.0,9.1
2017-01-24,11:12:37,-0.2,-2.3,9.0
2017-01-24,11:12:38,-0.2,-2.0,9.0
2017-01-24,11:12:39,-0.2,-2.3,8.9
2017-01-24,11:12:40,-0.2,-2.3,8.8
2017-01-24,11:12:41,-0.2,-2.3,8.9
2017-01-24,11:12:42,-0.2,-2.3,9.0
2017-01-24,11:12:43,-0.2,-2.3,9.0
2017-01-24,11:12:44,-0.2,-2.0,9.0
2017-01-24,11:12:45,-0.2,-2.3,8.9
2017-01-24,11:12:46,-0.2,-2.3,8.8
2017-01-24,11:12:47,-0.2,-2.3,8.8
2017-01-24,11:12:48,-0.2,-2.0,8.8
2017-01-24,11:12:49,-0.2,-2.3,8.8
2017-01-24,11:12:50,-0.2,-2.3,8.8
2017-01-24,11:12:51,-0.2,-2.3,8.9
2017-01-24,11:12:52,-0.2,-2.3,9.0
2017-01-24,11:12:53,-0.2,-2.3,9.0
2017-01-24,11:12:54,-0.2,-2.0,9.1
2017-01-24,11:12:55,-0.2,-2.0,9.0
2017-01-24,11:12:56,-0.2,-2.0,9.1
2017-01-24,11:12:57,-0.2,-2.3,9.0
2017-01-24,11:12:58,-0.2,-2.3,9.1
2017-01-24,11:12:59,-0.2,-2.3,9.1
2017-01-24,11:13:00,-0.2,-2.0,9.1
2017-01-24,11:13:01,-0.2,-2.0,9.0
2017-01-24,11:13:02,-0.2,-2.3,9.0
2017-01-24,11:13:03,-0.2,-2.0,8.9
2017-01-24,11:13:04,-0.2,-2.0,8.8
2017-01-24,11:13:05,-0.2,-2.3,8.9
2017-01-24,11:13:06,-0.2,-2.3,9.0
2017-01-24,11:13:07,-0.2,-2.3,8.9
2017-01-24,11:13:08,-0.2,-2.3,9.0
2017-01-24,11:13:09,-0.2,-2.3,8.9
2017-01-24,11:13:10,-0.2,-2.3,8.8
2017-01-24,11:13:11,-0.2,-2.3,8.8
