Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-1.7,-4.0,5.8
2017-01-24,11:12:33,-1.8,-4.4,5.8
2017-01-24,11:12:34,-1.8,-4.0,5.9
2017-01-24,11:12:35,-1.8,-4.4,5.8
2017-01-24,11:12:36,-1.8,-4.4,5.9
2017-01-24,11:12:37,-1.8,-4.0,5.9
2017-01-24,11:12:38,-1.8,-4.0,5.9
2017-01-24,11:12:39,-1.8,-4.0,5.9
2017-01-24,11:12:40,-1.8,-4.4,6.0
2017-01-24,11:12:41,-0.4,-4.0,5.9
2017-01-24,11:12:42,-1.7,-4.0,6.0
2017-01-24,11:12:43,-1.8,-4.0,5.9
2017-01-24,11:12:44,-1.8,-4.4,5.9
2017-01-24,11:12:45,-1.8,-4.0,5.9
2017-01-24,11:12:46,-1.8,-4.4,6.0
2017-01-24,11:12:47,-1.7,-4.0,6.0
2017-01-24,11:12:48,-1.7,-4.4,6.1
2017-01-24,11:12:49,-1.8,-4.0,6.1
2017-01-24,11:12:50,-1.8,-4.0,6.2
2017-01-24,11:12:51,-1.7,-4.4,6.1
2017-01-24,11:12:52,-1.7,-4.4,6.2
2017-01-24,11:12:53,-1.8,-4.4,6.1
2017-01-24,11:12:54,-1.8,-4.0,6.2
2017-01-24,11:12:55,-1.7,-4.4,6.1
2017-01-24,11:12:56,-1.8,-4.4,6.2
2017-01-24,11:12:57,-1.7,-4.4,6.1
2017-01-24,11:12:58,-1.8,-4.4,6.1
2017-01-24,11:12:59,-1.7,-4.4,6.1
2017-01-24,11:13:00,-1.8,-4.4,6.1
2017-01-24,11:13:01,-1.7,-4.4,6.1
2017-01-24,11:13:02,-1.8,-4.0,6.1
2017-01-24,11:13:03,-1.8,-4.4,6.1
2017-01-24,11:13:04,-1.8,-4.4,6.1
2017-01-24,11:13:05,-1.7,-4.0,6.1
2017-01-24,11:13:06,-1.8,-4.0,6.1
2017-01-24,11:13:07,-1.8,-4.0,6.0
2017-01-24,11:13:08,-1.8,-4.0,6.0
2017-01-24,11:13:09,-1.7,-4.0,6.0
2017-01-24,11:13:10,-1.8,-4.4,6.0
2017-01-24,11:13:11,-1.7,-4.0,5.9
2017-01-24,11:13:12,-1.7,-4.0,6.0
2017-01-24,11:13:13,-1.7,-4.4,6.0
2017-01-24,11:13:14,-1.7,-4.4,6.0
2017-01-24,11:13:15,-1.7,-4.4,6.0
2017-01-24,11:13:16,-1.7,-4.0,6.1
2017-01-24,11:13:17,-1.8,-4.4,6.1
2017-01-24,11:13:18,-1.8,-4.4,6.2
2017-01-24,11:13:19,-1.8,-4.4,6.1
2017-01-24,11:13:20,-1.7,-4.0,6.2
2017-01-24,11:13:21,-1.7,-4.0,6.1
2017-01-24,11:13:22,-1.8,-4.0,6.1
2017-01-24,11:13:23,-1.8,-4.0,6.0
2017-01-24,11:13:24,-1.8,-4.0,6.0
2017-01-24,11:13:25,-0.6,-4.0,6.0
2017-01-24,11:13:26,-1.7,-4.4,6.1
2017-01-24,11:13:27,-1.7,-4.4,6.1
2017-01-24,11:13:28,-1.8,-4.4,6.1
2017-01-24,11:13:29,-1.7,-4.0,6.0
2017-01-24,11:13:30,-1.7,-4.4,6.0
2017-01-24,11:13:31,-1.7,-4.4,5.9
2017-01-24,11:13:32,-1.7,-4.4,6.0
2017-01-24,11:13:33,-1.8,-4.0,6.0
2017-01-24,11:13:34,-1.7,-4.0,6.0
2017-01-24,11:13:35,-1.8,-4.0,6.0
2017-01-24,11:13:36,-1.7,-4.0,6.1
2017-01-24,11:13:37,-1.8,-4.4,6.1
2017-01-24,11:13:38,-1.8,-4.0,6.1
2017-01-24,11:13:39,-1.7,-4.4,6.0
2017-01-24,11:13:40,-1.7,-4.4,6.1
2017-01-24,11:13:41,-1.8,-4.4,6.1
2017-01-24,11:13:42,-1.7,-4.0,6.1
2017-01-24,11:13:43,-1.7,-4.4,6.1
2017-01-24,11:13:44,-0.5,-4.4,6.1
