Date,Time,Temperature,Dewpoint,Visibility
2017-01-24,11:12:32,-2.1,-4.5,22.9
2017-01-24,11:12:33,-2.1,-4.5,23.0
2017-01-24,11:12:34,-2.1,-5.4,23.1
2017-01-24,11:12:35,-2.1,-4.5,23.0
2017-01-24,11:12:36,-2.1,-4.5,23.1
2017-01-24,11:12:37,-2.0,-4.5,23.0
2017-01-24,11:12:38,-2.1,-4.5,23.1
2017-01-24,11:12:39,-2.0,-4.5,23.1
2017-01-24,11:12:40,-2.0,-4.5,23.1
2017-01-24,11:12:41,-2.1,-5.4,23.1
2017-01-24,11:12:42,-2.0,-5.4,23.2
2017-01-24,11:12:43,-2.0,-4.5,23.2
2017-01-24,11:12:44,-2.0,-5.4,23.2
2017-01-24,11:12:45,-2.1,-5.4,23.2
2017-01-24,11:12:46,-2.1,-4.5,23.2
2017-01-24,11:12:47,-2.1,-5.4,23.2
2017-01-24,11:12:48,-2.1,-4.5,23.2
2017-01-24,11:12:49,-2.1,-4.5,23.2
2017-01-24,11:12:50,-2.1,-4.5,23.2
2017-01-24,11:12:51,-0.8,-4.5,23.2
2017-01-24,11:12:52,-2.1,-5.4,23.3
2017-01-24,11:12:53,-2.1,-5.4,23.3
2017-01-24,11:12:54,-2.1,-4.5,23.3
2017-01-24,11:12:55,-2.1,-5.4,23.3
2017-01-24,11:12:56,-2.1,-5.4,23.4
2017-01-24,11:12:57,-2.0,-5.4,23.5
2017-01-24,11:12:58,-2.1,-4.5,23.5
2017-01-24,11:12:59,-2.1,-4.5,23.5
2017-01-24,11:13:00,-2.1,-5.4,23.4
2017-01-24,11:13:01,-2.0,-4.5,23.3
2017-01-24,11:13:02,-2.1,-5.4,23.4
2017-01-24,11:13:03,-2.1,-5.4,23.3
2017-01-24,11:13:04,-2.1,-5.4,23.4
2017-01-24,11:13:05,-2.1,-4.5,23.3
2017-01-24,11:13:06,-2.1,-4.5,23.4
2017-01-24,11:13:07,-2.1,-5.4,23.5
2017-01-24,11:13:08,-2.0,-5.4,23.4
2017-01-24,11:13:09,-2.0,-5.4,23.5
2017-01-24,11:13:10,-2.0,-4.5,23.4
2017-01-24,11:13:11,-2.0,-4.5,23.5
2017-01-24,11:13:12,-2.1,-5.4,23.4
2017-01-24,11:13:13,-2.1,-5.4,23.5
2017-01-24,11:13:14,-2.1,-5.4,None
2017-01-24,11:13:15,-2.1,-5.4,23.5
2017-01-24,11:13:16,-2.0,-5.4,23.5
2017-01-24,11:13:17,-2.1,-5.4,23.5
2017-01-24,11:13:18,-2.1,-4.5,23.5
2017-01-24,11:13:19,-2.0,-5.4,23.6
2017-01-24,11:13:20,-2.0,-5.4,23.5
2017-01-24,11:13:21,-2.0,-5.4,23.5
2017-01-24,11:13:22,-0.6,-4.5,23.5
2017-01-24,11:13:23,-2.1,-5.4,23.5
2017-01-24,11:13:24,-2.1,-4.5,23.4
2017-01-24,11:13:25,-2.0,-4.5,23.3
2017-01-24,11:13:26,-2.1,-5.4,23.3
2017-01-24,11:13:27,-0.7,-5.4,23.2
2017-01-24,11:13:28,-2.1,-5.4,23.3
2017-01-24,11:13:29,-2.0,-4.5,23.2
2017-01-24,11:13:30,-2.1,-5.4,23.2
2017-01-24,11:13:31,-2.0,-5.4,23.1
2017-01-24,11:13:32,-2.0,-5.4,23.1
2017-01-24,11:13:33,-2.1,-5.4,23.1
2017-01-24,11:13:34,-2.0,-5.4,23.2
2017-01-24,11:13:35,-2.0,-5.4,23.2
2017-01-24,11:13:36,-2.0,-5.4,23.3
2017-01-24,11:13:37,-2.1,-5.4,23.3
2017-01-24,11:13:38,-2.1,-5.4,23.4
2017-01-24,11:13:39,-2.0,-4.5,23.3
2017-01-24,11:13:40,-2.1,-4.5,23.3
2017-01-24,11:13:41,-2.0,-5.4,23.2
2017-01-24,11:13:42,-2.1,-5.4,23.2
2017-01-24,11:13:43,-2.1,-5.4,23.2
2017-01-24,11:13:44,-2.1,-5.4,23.2
2017-01-24,11:13:45,-2.1,-5.4,23.1
2017-01-24,11:13:46,-2.0,-4.5,23.1
2017-01-24,11:13:47,-2.0,-5.4,23.1
2017-01-24,11:13:48,-2.0,-4.5,23.2
2017-01-24,11:13:49,-2.0,-4.5,23.2
2017-01-24,11:13:50,-2.1,-5.4,23.3
2017-01-24,11:13:51,-2.1,-4.5,23.3
2017-01-24,11:13:52,-2.0,-4.5,23.4
2017-01-24,11:13:53,-2.0,-5.4,23.3
2017-01-24,11:13:54,-2.1,-4.5,23.3
2017-01-24,11:13:55,-2.0,-5.4,23.3
2017-01-24,11:13:56,-2.1,-4.5,23.3
2017-01-24,11:13:57,-2.0,-4.5,23.3
2017-01-24,11:13:58,-2.1,-4.5,23.4
2017-01-24,11:13:59,-2.0,-5.4,23.3
2017-01-24,11:14:00,-2.1,-4.5,23.3
2017-01-24,11:14:01,-2.1,-5.4,23.2
2017-01-24,11:14:02,-2.1,-4.5,23.3
2017-01-24,11:14:03,-2.0,-5.4,23.3
2017-01-24,11:14:04,-2.0,-4.5,23.3
2017-01-24,11:14:05,-2.0,-5.4,23.2
2017-01-24,11:14:06,-2.0,-5.4,23.2
2017-01-24,11:14:07,-2.0,-5.4,23.1
2017-01-24,11:14:08,-2.0,-5.4,23.1
2017-01-24,11:14:09,-2.1,-5.4,23.1
2017-01-24,11:14:10,-2.1,-5.4,23.2
2017-01-24,11:14:11,-2.0,-5.4,23.1
2017-01-24,11:14:12,-2.0,-5.4,23.1
2017-01-24,11:14:13,-2.1,-4.5,23.1
2017-01-24,11:14:14,-2.1,-4.5,23.2
2017-01-24,11:14:15,-2.1,-4.5,23.1
2017-01-24,11:14:16,-2.1,-4.5,23.2
2017-01-24,11:14:17,-2.0,-5.4,23.1
2017-01-24,11:14:18,-2.0,-5.4,23.2
2017-01-24,11:14:19,-2.1,-5.4,23.2
2017-01-24,11:14:20,-2.0,-4.5,23.3
2017-01-24,11:14:21,-2.1,-5.4,23.2
2017-01-24,11:14:22,-2.0,-5.4,23.2
2017-01-24,11:14:23,-0.8,-4.5,23.1
2017-01-24,11:14:24,-2.1,-4.5,23.2
2017-01-24,11:14:25,-2.0,-4.5,23.2
2017-01-24,11:14:26,-2.1,-5.4,23.2
2017-01-24,11:14:27,-2.0,-4.5,23.1
2017-01-24,11:14:28,-2.0,-5.4,23.1
2017-01-24,11:14:29,-2.0,-4.5,23.1
2017-01-24,11:14:30,-2.1,-4.5,23.1
2017-01-24,11:14:31,-2.0,-4.5,23.0
2017-01-24,11:14:32,-2.1,-5.4,22.9
2017-01-24,11:14:33,-2.1,-4.5,22.9
2017-01-24,11:14:34,-2.1,-4.5,22.9
2017-01-24,11:14:35,-2.0,-5.4,22.9
2017-01-24,11:14:36,-2.0,-5.4,22.8
2017-01-24,11:14:37,-2.1,-4.5,22.9
2017-01-24,11:14:38,-2.0,-4.5,22.9
2017-01-24,11:14:39,-2.0,-4.5,23.0
2017-01-24,11:14:40,-2.1,-5.4,22.9
2017-01-24,11:14:41,-2.0,-4.5,23.0
2017-01-24,11:14:42,-2.1,-4.5,23.1
2017-01-24,11:14:43,-2.0,-4.5,23.1
2017-01-24,11:14:44,-2.0,-4.5,23.1
2017-01-24,11:14:45,-2.1,-5.4,23.0
2017-01-24,11:14:46,-2.0,-5.4,22.9
2017-01-24,11:14:47,-2.1,-5.4,22.9
2017-01-24,11:14:48,-2.1,-5.4,22.9
2017-01-24,11:14:49,-2.0,-5.4,22.9
2017-01-24,11:14:50,-2.0,-4.5,22.9
2017-01-24,11:14:51,-2.0,-4.5,23.0
2017-01-24,11:14:52,-0.8,-4.5,23.1
2017-01-24,11:14:53,-2.1,-5.4,23.0
2017-01-24,11:14:54,-2.1,-5.4,22.9
2017-01-24,11:14:55,-2.1,-4.5,23.0
2017-01-24,11:14:56,-2.0,-4.5,23.1
2017-01-24,11:14:57,-2.0,-5.4,23.0
2017-01-24,11:14:58,-0.8,-5.4,23.1
