131050,SLOVENIA
131160,CROATIA
131310,CROATIA
131825,SERBIA AND MONTENEGRO
132080,YUGOSLAVIA (FORMER TERRITORY)
132090,CROATIA
132230,YUGOSLAVIA (FORMER TERRITORY)
132240,CROATIA
132280,BOSNIA AND HERZEGOVINA
132420,BOSNIA AND HERZEGOVINA
132570,BOSNIA AND HERZEGOVINA
132610,YUGOSLAVIA (FORMER TERRITORY)
132690,SERBIA AND MONTENEGRO
132740,SERBIA AND MONTENEGRO
132790,SERBIA AND MONTENEGRO
132850,SERBIA AND MONTENEGRO
132890,SERBIA AND MONTENEGRO
132950,SERBIA AND MONTENEGRO
133330,CROATIA
133340,CROATIA
133480,BOSNIA AND HERZEGOVINA
133520,YUGOSLAVIA (FORMER TERRITORY)
133530,BOSNIA AND HERZEGOVINA
133670,SERBIA AND MONTENEGRO
133760,SERBIA AND MONTENEGRO
133766,YUGOSLAVIA (FORMER TERRITORY)
133770,YUGOSLAVIA (FORMER TERRITORY)
133780,SERBIA AND MONTENEGRO
133840,SERBIA AND MONTENEGRO
133880,SERBIA AND MONTENEGRO
133890,SERBIA AND MONTENEGRO
133970,SERBIA AND MONTENEGRO
134520,CROATIA
134570,SERBIA AND MONTENEGRO
134590,SERBIA AND MONTENEGRO
134620,SERBIA AND MONTENEGRO
134624,SERBIA AND MONTENEGRO
134770,SERBIA AND MONTENEGRO
134810,SERBIA AND MONTENEGRO
134811,SERBIA AND MONTENEGRO
134890,SERBIA AND MONTENEGRO
134930,MACEDONIA
135620,SERBIA AND MONTENEGRO
135780,MACEDONIA
135790,SERBIA AND MONTENEGRO
135830,MACEDONIA
135860,MACEDONIA
136150,ALBANIA
141050,SLOVENIA
142160,CROATIA
142190,CROATIA
142320,CROATIA
142410,CROATIA
142440,CROATIA
143030,CROATIA
143070,CROATIA
143080,CROATIA
143140,CROATIA
143210,CROATIA
143230,CROATIA
143240,CROATIA
143280,CROATIA
143300,CROATIA
144270,CROATIA
144280,CROATIA
144310,CROATIA
144380,CROATIA
144410,CROATIA
144420,CROATIA
144440,CROATIA
144450,CROATIA
144470,CROATIA
144520,CROATIA
144540,CROATIA
144620,CROATIA
144720,CROATIA
144740,CROATIA
145420,BOSNIA AND HERZEGOVINA
146480,BOSNIA AND HERZEGOVINA
146520,BOSNIA AND HERZEGOVINA
146540,BOSNIA AND HERZEGOVINA
153350,ROMANIA
154090,ROMANIA
154800,ROMANIA
154810,ROMANIA
154990,ROMANIA
155020,BULGARIA
155050,BULGARIA
155110,BULGARIA
155250,BULGARIA
155253,BULGARIA
155260,BULGARIA
155280,BULGARIA
155300,BULGARIA
155350,BULGARIA
155490,BULGARIA
155500,BULGARIA
155520,BULGARIA
155560,BULGARIA
155561,BULGARIA
155610,BULGARIA
155620,BULGARIA
156000,BULGARIA
156050,BULGARIA
156090,BULGARIA
156091,BULGARIA
156130,BULGARIA
156140,BULGARIA
156150,BULGARIA
156250,BULGARIA
156270,BULGARIA
156350,BULGARIA
156400,BULGARIA
156550,BULGARIA
156610,BULGARIA
157120,BULGARIA
157250,BULGARIA
157260,BULGARIA
161080,ITALY
161100,ITALY
166220,GREECE
166240,GREECE
166270,GREECE
166650,GREECE
166750,GREECE
166820,GREECE
166870,GREECE
166990,GREECE
167160,GREECE
167161,GREECE
167180,GREECE
167260,GREECE
167340,GREECE
170500,TURKEY
170560,TURKEY
170575,TURKEY
170600,TURKEY
691810,UNITED STATES
